 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
 1.706390043741355E9,-221.641431,-575.166694,-1953.364706,-202.014436
 1.706390043741355E9,-226.1891493,-610.1123192,-2011.527631,-213.5034087
 1.7063900437548127E9,-212.0672871,-572.0550972,-1954.322121,-194.3551209
 1.7063900437548127E9,-215.8969446,-562.7203069,-1931.344176,-190.2861097
 1.7063900437714212E9,-243.6619619,-626.3883638,-2001.953487,-214.2214695
 1.7063900437714212E9,-222.3594918,-598.1446393,-1980.411663,-204.1686184
 1.706390043772064E9,-213.9821159,-551.7100415,-1922.9668,-187.6532202
 1.706390043772064E9,-236.0026468,-605.0858936,-1967.007861,-194.8338281
 1.7063900437849867E9,-238.87489,-615.6174519,-2001.714133,-209.6737511
 1.7063900437849867E9,-222.1201382,-570.1402684,-1939.482198,-195.0731817
 1.7063900438005276E9,-240.7897187,-601.2562361,-1965.811094,-219.247895
 1.7063900438005276E9,-256.108349,-635.7231541,-2027.324968,-231.4549285
 1.7063900438012204E9,-219.4872486,-583.5440699,-1965.57174,-202.2537896
 1.7063900438012204E9,-225.4710885,-582.1079483,-1937.806723,-190.0467561
 1.70639004383136E9,-245.0980835,-623.7554742,-2005.543791,-214.9395303
 1.70639004383136E9,-230.9762213,-607.0007224,-1988.310332,-205.3653864
 1.7063900438319244E9,-210.3918119,-562.2415997,-1915.307485,-183.1055018
 1.7063900438319244E9,-234.8058788,-606.5220152,-1979.693602,-215.657591
 1.706390043832654E9,-242.9439011,-623.5161206,-2013.203106,-222.838199
 1.706390043832654E9,-210.8705191,-558.8906494,-1923.68486,-179.5151979
 1.706390043844982E9,-235.5239396,-598.6233465,-1958.391132,-219.9659558
 1.706390043844982E9,-242.4651939,-625.1915958,-2019.665653,-237.678122
 1.7063900438605096E9,-226.9072101,-582.5866555,-1959.5879,-189.3286954
 1.7063900438605096E9,-236.2420004,-588.809849,-1949.295695,-208.2376295
 1.7063900438612397E9,-244.6193763,-626.6277174,-2010.330863,-232.6516964
 1.7063900438612397E9,-227.8646245,-601.4955897,-1990.464514,-216.6150054
 1.7063900438751023E9,-210.1524583,-560.0874174,-1921.291324,-188.8499882
 1.7063900438751023E9,-230.7368677,-602.2136505,-1979.454249,-216.3756518
 1.7063900438907251E9,-234.8058788,-613.2239159,-2002.671547,-214.9395303
 1.7063900438907251E9,-218.5298342,-574.9273404,-1933.977065,-186.4564522
 1.706390043891441E9,-238.1568292,-599.8201145,-1950.492463,-205.3653864
 1.706390043891441E9,-247.7309731,-633.0902645,-2024.452725,-224.2743205
 1.7063900439048784E9,-218.5298342,-583.3047163,-1955.518889,-207.0408615
 1.7063900439048784E9,-218.2904806,-567.0286717,-1936.370601,-199.3815464
 1.7063900439205022E9,-240.7897187,-621.8406454,-2004.82573,-228.8220389
 1.7063900439205022E9,-218.7691878,-591.4427386,-1975.145884,-190.0467561
 1.706390043921242E9,-207.0408615,-555.3003454,-1916.98296,-187.8925738
 1.706390043921242E9,-235.284586,-608.9155512,-1974.188469,-217.5724198
 1.7063900439351578E9,-239.1142436,-616.3355127,-1997.645122,-200.0996072
 1.7063900439351578E9,-205.60474,-556.9758206,-1924.642275,-177.1216619
 1.7063900439504979E9,-235.5239396,-587.1343738,-1950.25311,-203.9292648
 1.7063900439504979E9,-241.2684259,-620.883231,-2006.740559,-214.2214695
 1.7063900439512837E9,-225.2317349,-588.0917882,-1954.561474,-196.9880105
 1.7063900439512837E9,-224.9923813,-580.6718267,-1938.764137,-205.1260328
 1.7063900439650087E9,-234.8058788,-616.0961591,-1998.602536,-228.5826853
 1.7063900439650087E9,-219.7266022,-587.8524346,-1984.001967,-231.6942821
 1.7063900439807076E9,-212.5459943,-561.2841853,-1915.307485,-179.0364907
 1.7063900439807076E9,-236.481354,-606.7613688,-1975.863945,-206.8015079
 1.7063900439813209E9,-228.5826853,-601.2562361,-1992.379343,-201.0570216
 1.7063900439813209E9,-221.641431,-573.969926,-1951.210524,-237.4387684
