 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
 1.7081039139263852E9, -403.7895184159279, -1655.1301243901253, -2146.7624129652977, -426.0494029521942
 1.7081039139270432E9, -315.94674825668335, -1614.440012872219, -2069.69055467844, -414.5604302883148
 1.7081039139270432E9, -309.72355473041534, -1747.759966492653, -2190.803474843502, -197.70607125759125
 1.7081039139570744E9, -395.8908497095108, -1697.2563574910164, -2195.351193189621, -339.1640471816063
 1.7081039139570744E9, -349.9349590539932, -1591.2227139472961, -2065.142836332321, -469.61175763607025
 1.708103913957768E9, -274.5385759472847, -1689.3576887845993, -2133.119257926941, -238.87488996982574
 1.708103913957768E9, -366.92906445264816, -1733.6381042599678, -2214.020773768425, -260.8954209089279
 1.7081039139585695E9, -377.93932992219925, -1603.1903938055038, -2090.2749640345573, -477.031719148159
 1.7081039139585695E9, -276.93211191892624, -1637.4179581999779, -2084.2911241054535, -326.7176601290703
 1.7081039139706397E9, -324.32412415742874, -1748.9567344784737, -2211.148530602455, -193.63706010580063
 1.7081039139706397E9, -392.06119215488434, -1642.444383740425, -2141.257280230522, -420.3049166202545
 1.708103913986416E9, -302.7823004126549, -1600.5575042366982, -2056.5261068344116, -406.4224079847336
 1.708103913986416E9, -293.9262173175812, -1735.7922866344452, -2183.8622205257416, -193.63706010580063
 1.7081039139870815E9, -397.80567848682404, -1698.6924790740013, -2192.000242829323, -339.6427543759346
 1.7081039139870815E9, -351.37108063697815, -1590.983360350132, -2057.7228748202324, -473.920122385025
 1.7081039140006542E9, -284.11271983385086, -1701.5647222399712, -2140.0605122447014, -243.18325471878052
 1.7081039140006542E9, -378.1786835193634, -1746.0844913125038, -2224.5523320436478, -264.2463712692261
 1.7081039140163116E9, -386.79541301727295, -1611.8071233034134, -2098.1736327409744, -481.8187910914421
 1.7081039140163116E9, -295.8410460948944, -1653.6940028071404, -2096.019450366497, -336.5311576128006
 1.7081039140169854E9, -341.0788759589195, -1764.5147182941437, -2224.3129784464836, -207.04086154699326
 1.7081039140169854E9, -409.77335834503174, -1661.3533179163933, -2157.5333248376846, -436.580961227417
 1.7081039140306458E9, -318.8189914226532, -1612.0464769005775, -2070.6479690670967, -420.3049166202545
 1.7081039140306458E9, -310.9203227162361, -1747.2812592983246, -2196.787314772606, -199.14219284057617
 1.7081039140462852E9, -398.28438568115234, -1706.8305013775826, -2203.249861896038, -347.5414230823517
 1.7081039140462852E9, -353.2859094142914, -1596.7278466820717, -2070.887322664261, -477.51042634248734
 1.7081039140469935E9, -285.5488414168358, -1704.9156726002693, -2141.9753410220146, -245.57679069042206
 1.7081039140469935E9, -373.3916115760803, -1749.435441672802, -2223.8342712521553, -263.5283104777336
 1.7081039140606978E9, -382.72640186548233, -1609.1742337346077, -2099.131047129631, -479.9039623141289
 1.7081039140606978E9, -281.47983026504517, -1638.6147261857986, -2092.668500006199, -332.9408536553383
 1.7081039140763848E9, -327.91442811489105, -1758.5308783650398, -2222.3981496691704, -197.22736406326294
 1.7081039140763848E9, -398.0450320839882, -1651.0611132383347, -2146.7624129652977, -430.357767701149
 1.7081039140770762E9, -303.7397148013115, -1600.0787970423698, -2062.2705931663513, -410.9701263308525
 1.7081039140770762E9, -291.0539741516113, -1736.0316402316093, -2182.1867453455925, -186.93515938520432
 1.708103914090678E9, -384.8805842399597, -1697.4957110881805, -2186.4951100945473, -334.3769752383232
 1.708103914090678E9, -339.6427543759346, -1583.324045240879, -2059.87705719471, -474.6381831765175
 1.708103914106799E9, -277.6501727104187, -1695.102175116539, -2137.906329870224, -239.1142435669899
 1.708103914106799E9, -366.2110036611557, -1735.3135794401169, -2214.9781881570816, -254.91158097982407
 1.708103914121307E9, -381.05092668533325, -1602.2329794168472, -2095.3013895750046, -476.0743047595024
 1.708103914121307E9, -280.04370868206024, -1644.8379197120667, -2087.1633672714233, -328.39313530921936
 1.7081039141220837E9, -332.2227928638458, -1754.4618672132492, -2219.7652601003647, -189.32869535684586
 1.7081039141220837E9, -402.1140432357788, -1647.9495164752007, -2140.2998658418655, -426.5281101465225
 1.7081039141363616E9, -306.13325077295303, -1605.5839297771454, -2060.116410791874, -409.77335834503174
 1.7081039141363616E9, -303.50036120414734, -1743.9303089380264, -2191.2821820378304, -200.81766802072525
 1.7081039141370683E9, -391.1037777662277, -1700.6073078513145, -2192.000242829323, -343.7117655277252
 1.7081039141370683E9, -348.02013027668, -1589.547238767147, -2061.791885972023, -479.9039623141289
 1.7081039141505926E9, -278.36823350191116, -1696.2989431023598, -2138.3850370645523, -240.07165795564651
 1.7081039141505926E9, -367.6471252441406, -1740.5793585777283, -2224.0736248493195, -262.570896089077
 1.7081039141663065E9, -379.3754515051842, -1603.1903938055038, -2096.9768647551537, -481.8187910914421
 1.7081039141663065E9, -280.7617694735527, -1640.2902013659477, -2089.0781960487366, -327.43572092056274
 1.7081039141670544E9, -326.238952934742, -1751.5896240472794, -2216.6536633372307, -193.15835291147232
 1.7081039141670544E9, -395.4121425151825, -1638.3753725886345, -2137.66697627306, -420.54427021741867
 1.7081039141806483E9, -301.5855324268341, -1594.094957113266, -2055.329338848591, -406.1830543875694
 1.7081039141806483E9, -285.30948781967163, -1722.3884851932526, -2181.229330956936, -188.13192737102509
 1.7081039141963165E9, -383.68381625413895, -1691.0331639647484, -2186.255756497383, -337.9672791957855
 1.7081039141963165E9, -333.8982680439949, -1573.989254951477, -2045.0371341705322, -453.3357130289078
 1.70810391419707E9, -260.65606731176376, -1674.99647295475, -2114.449677348137, -218.2904806137085
 1.70810391419707E9, -348.73819106817245, -1712.096280515194, -2196.787314772606, -237.19941478967667
 1.7081039142106905E9, -367.6471252441406, -1588.5898243784904, -2075.1956874132156, -457.64407777786255
 1.7081039142106905E9, -272.14503997564316, -1629.0405822992325, -2079.025344967842, -311.3990299105644
 1.7081039142263644E9, -314.0319194793701, -1737.9464690089226, -2204.685983479023, -183.58420902490616
 1.7081039142263644E9, -389.42830258607864, -1637.1786046028137, -2130.7257219552994, -412.6456015110016
 1.708103914227046E9, -303.7397148013115, -1598.882029056549, -2055.0899852514267, -411.20947992801666
 1.708103914227046E9, -287.463670194149, -1732.2019826769829, -2177.3996734023094, -182.8661482334137
 1.7081039142406297E9, -388.7102417945862, -1694.3841143250465, -2180.2719165682793, -328.39313530921936
